feature,clf_importance,reg_importance,avg_importance,task_specificity
num__Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,1.0,1.0,1.0,0.0
num__Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,0.999999947358401,0.9607843137254901,0.9803921305419456,0.03921563363291092
num__Total_Trans_Ct,0.17409850589865122,0.0,0.08704925294932561,0.17409850589865122
num__Total_Trans_Amt_div_Total_Trans_Ct,0.10659966408764739,0.0,0.05329983204382369,0.10659966408764739
num__Total_Ct_Chng_Q4_Q1,0.09799394846081236,0.0,0.04899697423040618,0.09799394846081236
num__Contacts_Count_12_mon,0.07595048155576195,0.0,0.037975240777880975,0.07595048155576195
num__Months_Inactive_12_mon,0.06695954606807256,0.0,0.03347977303403628,0.06695954606807256
num__Total_Relationship_Count,0.06690180965046662,0.0,0.03345090482523331,0.06690180965046662
num__Total_Revolving_Bal,0.06485795217116903,0.0,0.03242897608558452,0.06485795217116903
num__Avg_Utilization_Ratio,0.05018123692835855,0.0,0.025090618464179273,0.05018123692835855
cat_low__Gender_M,0.046400943683642455,0.0,0.023200471841821228,0.046400943683642455
num__Total_Trans_Amt_log,0.04167017587524765,0.0,0.020835087937623824,0.04167017587524765
num__Total_Trans_Amt,0.03260369481178152,0.0,0.01630184740589076,0.03260369481178152
cat_low__Card_Category_Blue,0.031259488847251486,0.0,0.015629744423625743,0.031259488847251486
num__Total_Revolving_Bal_div_Avg_Utilization_Ratio,0.027013870505879365,0.0,0.013506935252939683,0.027013870505879365
num__Total_Amt_Chng_Q4_Q1,0.025542284539449324,0.0,0.012771142269724662,0.025542284539449324
num__CLIENTNUM,0.024869864658084505,0.0,0.012434932329042253,0.024869864658084505
cat_low__Marital_Status_Married,0.022647479998834336,0.0,0.011323739999417168,0.022647479998834336
cat_low__Card_Category_Silver,0.02246754151312052,0.0,0.01123377075656026,0.02246754151312052
num__Avg_Open_To_Buy_div_Avg_Utilization_Ratio,0.022015112382544794,0.0,0.011007556191272397,0.022015112382544794
cat_low__Income_Category_$40K - $60K,0.020569299337672195,0.0,0.010284649668836097,0.020569299337672195
cat_low__Income_Category_$60K - $80K,0.01636960138602217,0.0,0.008184800693011085,0.01636960138602217
cat_low__Marital_Status_Unknown,0.014887273560198254,0.0,0.007443636780099127,0.014887273560198254
cat_low__Marital_Status_Divorced,0.014643613278498465,0.0,0.007321806639249233,0.014643613278498465
cat_low__Income_Category_Unknown,0.013938802066718225,0.0,0.006969401033359112,0.013938802066718225
cat_low__Education_Level_College,0.012872220087616801,0.0,0.006436110043808401,0.012872220087616801
num__Credit_Limit_div_Avg_Open_To_Buy_div_Avg_Utilization_Ratio,0.012320768051929068,0.0,0.006160384025964534,0.012320768051929068
cat_low__Education_Level_High School,0.012205163796824771,0.0,0.0061025818984123854,0.012205163796824771
cat_low__Gender_F,0.01172985745650485,0.0,0.005864928728252425,0.01172985745650485
cat_low__Education_Level_Graduate,0.010124717630567256,0.0,0.005062358815283628,0.010124717630567256
cat_low__Income_Category_$80K - $120K,0.009553250160696952,0.0,0.004776625080348476,0.009553250160696952
num__Credit_Limit_div_Avg_Open_To_Buy,0.009478364670536968,0.0,0.004739182335268484,0.009478364670536968
cat_low__Education_Level_Unknown,0.007961508731726104,0.0,0.003980754365863052,0.007961508731726104
cat_low__Education_Level_Uneducated,0.007839078763612542,0.0,0.003919539381806271,0.007839078763612542
num__Customer_Age,0.007500879054397248,0.0,0.003750439527198624,0.007500879054397248
num__Credit_Limit_div_Total_Revolving_Bal_div_Avg_Utilization_Ratio,0.00697176589889865,0.0,0.003485882949449325,0.00697176589889865
num__Credit_Limit,0.006031018884028426,0.0,0.003015509442014213,0.006031018884028426
cat_low__Marital_Status_Single,0.005952434302616093,0.0,0.0029762171513080466,0.005952434302616093
num__Dependent_count,0.005809745857815619,0.0,0.0029048729289078094,0.005809745857815619
num__Months_on_book,0.005341441222381075,0.0,0.0026707206111905375,0.005341441222381075
num__Customer_Age_div_Months_on_book,0.005263928590170158,0.0,0.002631964295085079,0.005263928590170158
cat_low__Education_Level_Post-Graduate,0.0043717532645265395,0.0,0.0021858766322632697,0.0043717532645265395
cat_low__Card_Category_Gold,0.003817911998119243,0.0,0.0019089559990596214,0.003817911998119243
num__Credit_Limit_div_Avg_Open_To_Buy_log,0.003173007385352596,0.0,0.001586503692676298,0.003173007385352596
cat_low__Income_Category_$120K +,0.003000326712004322,0.0,0.001500163356002161,0.003000326712004322
cat_low__Education_Level_Doctorate,0.0027563588652730502,0.0,0.0013781794326365251,0.0027563588652730502
num__Months_on_book_div_Customer_Age_div_Months_on_book,0.0009374652690568203,0.0,0.00046873263452841015,0.0009374652690568203
cat_low__Income_Category_Less than $40K,0.0007001749010416042,0.0,0.0003500874505208021,0.0007001749010416042
cat_low__Card_Category_Platinum,0.0005858587816551613,0.0,0.0002929293908275806,0.0005858587816551613
num__Avg_Open_To_Buy,0.00022970126956668493,0.0,0.00011485063478334247,0.00022970126956668493
