feature,importance
num__MMSE,0.21568278380387354
num__FunctionalAssessment,0.21166681590672673
num__ADL,0.20967021576001998
num__MemoryComplaints,0.14689476505871224
num__PatientID,0.09696534350798558
num__BehavioralProblems,0.078537267736514
num__CholesterolLDL,0.00634116070883482
num__Age,0.005586079474537052
num__AlcoholConsumption,0.004794012723489718
num__CholesterolTriglycerides,0.004114963121504408
num__CholesterolHDL,0.0035931898700739574
num__PhysicalActivity,0.002819450196316934
num__SystolicBP,0.0028171192937340803
num__DietQuality,0.002641759203323728
num__SleepQuality,0.0023066740532802672
num__BMI,0.0014090149600209279
num__CholesterolTotal,0.0013297251185756464
num__DiastolicBP,0.0012698006015470404
num__Ethnicity,0.0005951709226213806
num__Forgetfulness,0.00046964583242935427
