feature,importance
num__Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,0.51
num__Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,0.49
num__CLIENTNUM,0.0
num__Credit_Limit_div_Avg_Open_To_Buy_log,0.0
cat_low__Gender_M,0.0
cat_low__Education_Level_College,0.0
cat_low__Education_Level_Doctorate,0.0
cat_low__Education_Level_Graduate,0.0
cat_low__Education_Level_High School,0.0
cat_low__Education_Level_Post-Graduate,0.0
cat_low__Education_Level_Uneducated,0.0
cat_low__Education_Level_Unknown,0.0
cat_low__Marital_Status_Divorced,0.0
cat_low__Marital_Status_Married,0.0
cat_low__Marital_Status_Single,0.0
cat_low__Marital_Status_Unknown,0.0
cat_low__Income_Category_$120K +,0.0
cat_low__Income_Category_$40K - $60K,0.0
cat_low__Income_Category_$60K - $80K,0.0
cat_low__Income_Category_$80K - $120K,0.0
